Indicator,Country,Start Year,End Year,Value,Unit,Source
Greenhouse gas emissions intensity for rice,Bangladesh,2007,2007,0.8685,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2008,2008,0.8728,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2009,2009,0.8407,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2010,2010,0.8212,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2011,2011,0.8222,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2012,2012,0.805,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2013,2013,0.7851,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2014,2014,0.7941,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2015,2015,0.8001,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2016,2016,0.785,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2017,2017,0.7731,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2018,2018,0.7717,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2019,2019,0.7692,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2020,2020,0.7625,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2021,2021,0.7646,kg CO2eq/kg product,FAOSTAT
Soil biodiversity potential index,Bangladesh,2010,2010,0.96,,Orgiazzi et al. 2016
Mandatory removal of trans fats in food products,Bangladesh,2022,2022,Yes,,World Cancer Research Fund International; WHO
Presence of a national food system transformation pathway,Bangladesh,2022,2022,Yes,,FAO; FSCI
Presence of a national food system transformation pathway,Bangladesh,2024,2024,Yes,,FAO; FSCI
Presence of a national food system transformation pathway,Bangladesh,2023,2023,No,,FAO; FSCI
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,1990,1990,105365.9542,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,1991,1991,106734.2186,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,1992,1992,109369.6769,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,1993,1993,110890.2067,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,1994,1994,114981.3727,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,1995,1995,122095.2365,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,1996,1996,124283.5237,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,1997,1997,126631.4966,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,1998,1998,127561.3529,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,1999,1999,134104.4315,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2000,2000,137394.3737,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2001,2001,143267.7042,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2002,2002,146507.0644,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2003,2003,149164.5189,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2004,2004,151802.4265,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2005,2005,156669.8917,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2006,2006,163290.0611,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2007,2007,165772.6664,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2008,2008,173721.7068,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2009,2009,178237.0062,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2010,2010,185122.1041,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2011,2011,189625.1367,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2012,2012,194408.967,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2013,2013,196840.1051,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2014,2014,203166.7884,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2015,2015,212352.9005,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2016,2016,215357.6455,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2017,2017,223442.1082,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2018,2018,226532.4596,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2019,2019,245477.1306,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2020,2020,239115.9019,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2021,2021,249379.2922,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions excluding land-use change and forestry,Bangladesh,2022,2022,258576.7992,ktCO₂eq,FAOSTAT
Presence of national health-related food environment policies,Bangladesh,2023,2023,None,,World Cancer Research Fund International; FSCI
Cost of animal-source foods,Bangladesh,2017,2017,1.14,PPP dollar/capita/day,FAOSTAT
Cost of animal-source foods,Bangladesh,2021,2021,1.37,PPP dollar/capita/day,FAOSTAT
Cost of vegetables,Bangladesh,2017,2017,0.48,PPP dollar/capita/day,FAOSTAT
Cost of vegetables,Bangladesh,2021,2021,0.67,PPP dollar/capita/day,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,1990,1990,123554.1921,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,1991,1991,124922.4565,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,1992,1992,127557.9148,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,1993,1993,129078.4446,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,1994,1994,133169.6106,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,1995,1995,140312.8799,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,1996,1996,142481.5974,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,1997,1997,144822.4165,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,1998,1998,145645.67,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,1999,1999,152098.7691,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2000,2000,155238.8203,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2001,2001,161681.5515,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2002,2002,164705.81,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2003,2003,167425.1293,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2004,2004,169927.1861,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2005,2005,174868.9153,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2006,2006,181873.4462,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2007,2007,183997.8794,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2008,2008,192074.7655,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2009,2009,196639.4934,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2010,2010,203324.3334,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2011,2011,207383.9331,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2012,2012,212193.872,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2013,2013,214850.7676,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2014,2014,221064.3201,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2015,2015,230002.5054,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2016,2016,232851.0271,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2017,2017,240931.4513,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2018,2018,244067.3214,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2019,2019,263048.8276,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2020,2020,256925.2344,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2021,2021,267138.8551,ktCO₂eq,FAOSTAT
Total greenhouse gas emissions including land-use change and forestry,Bangladesh,2022,2022,275875.5073,ktCO₂eq,FAOSTAT
Average number of meals (lunch and dinner) cooked per week,Bangladesh,2018,2018,5.127675984100442,times/week,Cookpad
Average number of meals (lunch and dinner) cooked per week,Bangladesh,2019,2019,4.941111815752988,times/week,Cookpad
Average number of meals (lunch and dinner) cooked per week,Bangladesh,2020,2020,5.396188043432322,times/week,Cookpad
Average number of meals (lunch and dinner) cooked per week,Bangladesh,2021,2021,4.835836314684334,times/week,Cookpad
Dietary sourcing flexibility index,Bangladesh,2013,2013,0.407333761453628,,FAO
Dietary sourcing flexibility index,Bangladesh,2014,2014,0.442708224058151,,FAO
Dietary sourcing flexibility index,Bangladesh,2015,2015,0.455384790897369,,FAO
Dietary sourcing flexibility index,Bangladesh,2016,2016,0.47951066493988,,FAO
Dietary sourcing flexibility index,Bangladesh,2017,2017,0.482078760862351,,FAO
Dietary sourcing flexibility index,Bangladesh,2018,2018,0.495866626501083,,FAO
Dietary sourcing flexibility index,Bangladesh,2019,2019,0.504410982131958,,FAO
Citrus yield,Bangladesh,1961,1961,0.3871,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1962,1962,0.38095,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1963,1963,0.38406,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1964,1964,0.37952,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1965,1965,0.38562,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1966,1966,0.36697,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1967,1967,0.36842,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1968,1968,0.36842,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1969,1969,0.37,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1970,1970,0.37176,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1971,1971,0.3678,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1972,1972,0.36832,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1973,1973,0.37059,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1974,1974,0.34967,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1975,1975,0.33941,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1976,1976,0.34245,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1977,1977,0.34026,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1978,1978,0.32097,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1979,1979,0.323,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1980,1980,0.31639,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1981,1981,0.3184900000000001,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1982,1982,0.31095,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1983,1983,0.33221,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1984,1984,0.3506300000000001,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1985,1985,0.33592,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1986,1986,0.32774,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1987,1987,0.3288,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1988,1988,0.28323,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1989,1989,0.27506,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1990,1990,0.26732,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1991,1991,0.27893,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1992,1992,0.29633,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1993,1993,0.29322,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1994,1994,0.29551,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1995,1995,0.29284,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1996,1996,0.30121,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1997,1997,0.28899,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1998,1998,0.3052,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,1999,1999,0.3048,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2000,2000,0.31663,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2001,2001,0.31062,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2002,2002,0.30199,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2003,2003,0.30489,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2004,2004,0.30367,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2005,2005,0.40867,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2006,2006,0.42056,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2007,2007,0.5001,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2008,2008,0.46932,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2009,2009,0.4273600000000001,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2010,2010,0.40116,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2011,2011,0.39865,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2012,2012,0.50641,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2013,2013,0.47939,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2014,2014,0.5429100000000001,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2015,2015,0.41124,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2016,2016,0.4670300000000001,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2017,2017,0.4128600000000001,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2018,2018,0.48767,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2019,2019,0.18368,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2020,2020,0.18571,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2021,2021,0.22751,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2022,2022,0.28034,tonnes/ha,FAOSTAT
Citrus yield,Bangladesh,2023,2023,0.25198,tonnes/ha,FAOSTAT
Long term average annual precipitation,Bangladesh,1967,1967,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1968,1968,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1969,1969,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1970,1970,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1971,1971,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1972,1972,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1973,1973,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1974,1974,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1975,1975,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1976,1976,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1977,1977,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1978,1978,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1979,1979,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1980,1980,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1981,1981,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1982,1982,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1983,1983,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1984,1984,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1985,1985,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1986,1986,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1987,1987,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1988,1988,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1989,1989,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1990,1990,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1991,1991,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1992,1992,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1993,1993,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1994,1994,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1995,1995,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1996,1996,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1997,1997,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1998,1998,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,1999,1999,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2000,2000,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2001,2001,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2002,2002,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2003,2003,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2004,2004,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2005,2005,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2006,2006,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2007,2007,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2008,2008,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2009,2009,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2010,2010,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2011,2011,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2012,2012,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2013,2013,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2014,2014,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2015,2015,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2016,2016,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2017,2017,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2018,2018,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2019,2019,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2020,2020,2666,mm/year,AQUASTAT
Long term average annual precipitation,Bangladesh,2021,2021,2666,mm/year,AQUASTAT
Cost of an energy sufficient diet,Bangladesh,2017,2017,0.644,2017 PPP dollar/capita/day,Food Prices for Nutrition DataHub
Cost of an energy sufficient diet,Bangladesh,2021,2021,0.78,2017 PPP dollar/capita/day,Food Prices for Nutrition DataHub
Fish export quantity,Bangladesh,2010,2010,83.93,1000 tonnes,FAOSTAT
Fish export quantity,Bangladesh,2011,2011,92.51,1000 tonnes,FAOSTAT
Fish export quantity,Bangladesh,2012,2012,55.88,1000 tonnes,FAOSTAT
Fish export quantity,Bangladesh,2013,2013,75.44,1000 tonnes,FAOSTAT
Fish export quantity,Bangladesh,2014,2014,75.78,1000 tonnes,FAOSTAT
Fish export quantity,Bangladesh,2015,2015,56.59,1000 tonnes,FAOSTAT
Fish export quantity,Bangladesh,2016,2016,78.02,1000 tonnes,FAOSTAT
Fish export quantity,Bangladesh,2017,2017,64.77,1000 tonnes,FAOSTAT
